"data";"THB";"USD";"AUD";"HKD";"CAD";"NZD";"SGD";"EUR";"HUF";"CHF";"GBP";"UAH";"JPY";"CZK";"DKK";"ISK";"NOK";"SEK";"HRK";"RON";"BGN";"TRY";"ILS";"CLP";"PHP";"MXN";"ZAR";"BRL";"MYR";"RUB";"IDR";"INR";"KRW";"CNY";"XDR"
2022-01-26;0,1234;4,0684;2,9169;0,5224;3,2355;2,7216;3,0255;4,592;1,2769;4,4211;5,4958;0,1412;3,5649;0,1876;0,617;3,1495;0,4577;0,4398;0,6099;0,9286;2,3478;0,3011;1,2793;0,5086;0,0794;0,1978;0,2684;0,7473;0,9706;0,0515;2,8346;5,4316;0,3399;0,6436;5,7008
2022-01-27;0,123;4,083;2,8956;0,524;3,2223;2,7044;3,0221;4,5713;1,2745;4,4029;5,4818;0,1408;3,5501;0,1864;0,6142;3,1439;0,456;0,4372;0,6071;0,9244;2,3372;0,2996;1,2783;0,5085;0,0797;0,1972;0,2673;0,7515;0,9727;0,0519;2,8382;5,4389;0,3394;0,6417;5,674
2022-01-28;0,123;4,1048;2,8738;0,5268;3,2123;2,6913;3,0248;4,5697;1,279;4,4086;5,4934;0,1426;3,5504;0,1865;0,6139;3,169;0,4565;0,4349;0,6068;0,9238;2,3364;0,3014;1,285;0,5098;0,0801;0,1973;0,2645;0,7592;0,9797;0,0527;2,8531;5,4701;0,3388;0,6454;5,7
2022-01-31;0,1236;4,1147;2,9019;0,5276;3,2318;2,7075;3,0386;4,5982;1,284;4,4156;5,532;0,1446;3,565;0,1881;0,6178;3,2066;0,4597;0,4389;0,6108;0,9295;2,351;0,3077;1,2905;0,5059;0,0807;0,1983;0,265;0,7666;0,9831;0,0531;2,861;5,5142;0,3403;0,6486;5,7415
2022-02-01;0,1225;4,0689;2,8813;0,5219;3,2106;2,6837;3,0158;4,582;1,2889;4,4087;5,492;0,1436;3,5475;0,1884;0,6158;3,1908;0,4589;0,4382;0,6089;0,9261;2,3427;0,3038;1,2858;0,5082;0,0797;0,1979;0,2662;0,7671;0,9721;0,0528;2,8292;5,4384;0,3383;0,6463;5,7163
2022-02-02;0,1213;4,0283;2,8771;0,5169;3,1757;2,6761;2,9889;4,55;1,2814;4,379;5,4556;0,1418;3,5214;0,1874;0,6117;3,1597;0,4583;0,4368;0,6045;0,9197;2,3264;0,2993;1,2761;0,5018;0,0789;0,1966;0,2636;0,765;0,9624;0,0528;2,8057;5,3839;0,3352;0,6418;5,649
2022-02-03;0,1214;4,0267;2,8651;0,5165;3,1684;2,6715;2,9845;4,5439;1,2812;4,3656;5,4598;0,1424;3,5092;0,1878;0,6109;3,1776;0,4558;0,4367;0,6037;0,9187;2,3232;0,2963;1,263;0,4967;0,0788;0,1953;0,2616;0,7652;0,9625;0,0526;2,8007;5,379;0,3343;0,6409;5,621
2022-02-04;0,1202;3,9657;2,8199;0,5092;3,1193;2,6355;2,9504;4,5459;1,2829;4,3046;5,381;0,1411;3,4497;0,1864;0,6109;3,1834;0,4544;0,435;0,6037;0,919;2,3243;0,2925;1,2395;0,4844;0,0775;0,1927;0,2588;0,7505;0,9489;0,0522;2,7578;5,3089;0,3308;0,6412;5,6358
2022-02-07;0,1207;3,9872;2,8296;0,5116;3,1316;2,6404;2,9648;4,555;1,29;4,3112;5,3893;0,1424;3,4666;0,1879;0,6119;3,1764;0,4514;0,4355;0,6056;0,9209;2,3289;0,2942;1,2455;0,4813;0,0775;0,1924;0,257;0,7486;0,9527;0,0528;2,7696;5,3389;0,3324;0,627;5,5889
2022-02-08;0,1205;3,9693;2,8322;0,5092;3,1296;2,6384;2,9515;4,5274;1,2803;4,2973;5,3792;0,1417;3,4403;0,1871;0,6082;3,1704;0,4522;0,4347;0,602;0,9152;2,3148;0,2908;1,237;0,4813;0,0772;0,1925;0,256;0,754;0,9485;0,0527;2,7579;5,3097;0,3314;0,6234;5,5555
2022-02-09;0,1208;3,953;2,8315;0,5072;3,1138;2,6347;2,9439;4,5167;1,279;4,2798;5,3633;0,1413;3,4263;0,186;0,6068;3,1718;0,4494;0,4335;0,6002;0,9131;2,3093;0,2909;1,2307;0,4777;0,0771;0,1925;0,2578;0,7515;0,9446;0,0529;2,7533;5,2847;0,3307;0,6213;5,5574
2022-02-10;0,1203;3,9218;2,8191;0,5032;3,0939;2,6237;2,9231;4,4879;1,2694;4,2465;5,3225;0,1407;3,387;0,1842;0,6031;3,165;0,445;0,4284;0,5962;0,9075;2,2946;0,2896;1,2195;0,4822;0,0765;0,1919;0,259;0,749;0,9374;0,0525;2,7344;5,2329;0,3281;0,6168;5,5103
2022-02-11;0,1213;3,9665;2,8261;0,5084;3,1159;2,637;2,9496;4,5163;1,2769;4,2754;5,3772;0,1414;3,4177;0,1852;0,6069;3,185;0,4486;0,426;0,5998;0,9134;2,3091;0,2942;1,2248;0,4926;0,0774;0,1936;0,2631;0,7555;0,9468;0,0529;2,7638;5,2618;0,3317;0,6238;5,5429
2022-02-14;0,1243;4,0439;2,8696;0,5182;3,1666;2,6717;3,0003;4,5743;1,2814;4,375;5,4645;0,1416;3,5149;0,1862;0,6147;3,2259;0,4522;0,4292;0,6075;0,9249;2,3388;0,2981;1,2391;0,4992;0,0787;0,1967;0,2649;0,7698;0,965;0,0523;2,8225;5,3487;0,3379;0,636;5,6183
2022-02-15;0,1228;3,974;2,8389;0,5093;3,1285;2,6348;2,953;4,5091;1,2676;4,2954;5,3856;0,141;3,4375;0,1846;0,6058;3,1934;0,4479;0,4267;0,5989;0,9121;2,3054;0,2917;1,229;0,4886;0,0774;0,1951;0,2638;0,762;0,9493;0,0526;2,7785;5,276;0,3317;0,6259;5,5757
2022-02-16;0,1221;3,9478;2,8318;0,506;3,1126;2,6255;2,9374;4,4916;1,2671;4,2706;5,3542;0,1405;3,4132;0,1843;0,6035;3,1901;0,444;0,426;0,5966;0,9092;2,2965;0,2896;1,2335;0,4929;0,077;0,1939;0,2618;0,7652;0,9433;0,0525;2,7689;5,2586;0,3296;0,6229;5,5461
2022-02-17;0,1233;3,9687;2,8553;0,5087;3,1228;2,6584;2,9516;4,5088;1,2661;4,307;5,3988;0,1401;3,448;0,185;0,606;3,1842;0,4451;0,4257;0,5986;0,9119;2,3053;0,2912;1,2409;0,4973;0,0773;0,196;0,2648;0,7726;0,9477;0,0522;2,7719;5,2826;0,3312;0,626;5,5617
2022-02-18;0,1237;3,9798;2,8716;0,5103;3,1386;2,6753;2,9625;4,5256;1,2702;4,3233;5,4222;0,1404;3,4561;0,1862;0,6084;3,2096;0,4463;0,4277;0,6005;0,9153;2,3139;0,292;1,246;0,5004;0,0774;0,1964;0,2654;0,7694;0,9507;0,0526;2,7776;5,3308;0,3333;0,6291;5,5849
