"data";"USD";"EUR"
"2022-05-04";4.4456;4.6777
"2022-05-05";4.4017;4.6658
"2022-05-06";4.4502;4.6979
"2022-05-09";4.4784;4.7059
"2022-05-10";4.4223;4.6761
"2022-05-11";4.419;4.67
"2022-05-12";4.4863;4.6841
"2022-05-13";4.4849;4.6679
"2022-05-16";4.4785;4.6724
"2022-05-17";4.4379;4.6558
"2022-05-18";4.4279;4.6528
"2022-05-19";4.4231;4.6429
"2022-05-20";4.3832;4.6366
"2022-05-23";4.3369;4.6171
"2022-05-24";4.3071;4.6107
"2022-05-25";4.3069;4.5955
"2022-05-26";4.3189;4.6135
"2022-05-27";4.2966;4.6102
"2022-05-30";4.2617;4.5869
"2022-05-31";4.2651;4.5756
"2022-06-01";4.2817;4.5891
"2022-06-02";4.2931;4.5876
"2022-06-03";4.2689;4.5908
"2022-06-06";4.2675;4.588
"2022-06-07";4.2935;4.5855
"2022-06-08";4.2904;4.5817
"2022-06-09";4.2764;4.5826
"2022-06-10";4.3363;4.603
"2022-06-13";4.4209;4.6313
"2022-06-14";4.4478;4.6548
"2022-06-15";4.4455;4.6642
"2022-06-17";4.463;4.6951
"2022-06-20";4.44;4.6731
"2022-06-21";4.3917;4.646
"2022-06-22";4.4338;4.659
"2022-06-23";4.4881;4.7096
"2022-06-24";4.4656;4.7094
"2022-06-27";4.4369;4.6965
"2022-06-28";4.4377;4.7004
"2022-06-29";4.4533;4.6809
"2022-06-30";4.4825;4.6806
"2022-07-01";4.5106;4.7176
"2022-07-04";4.5032;4.7002
"2022-07-05";4.5947;4.7358
"2022-07-06";4.6796;4.7942
"2022-07-07";4.7029;4.7965
"2022-07-08";4.7417;4.7958
"2022-07-11";4.7416;4.7976
"2022-07-12";4.8284;4.8337
"2022-07-13";4.8221;4.8399
"2022-07-14";4.8274;4.8371
"2022-07-15";4.7966;4.8115
"2022-07-18";4.7152;4.777
"2022-07-19";4.6594;4.7731
"2022-07-20";4.6524;4.7603
"2022-07-21";4.6682;4.7578
"2022-07-22";4.692;4.7643
"2022-07-25";4.6171;4.7196
"2022-07-26";4.6222;4.7183
"2022-07-27";4.7142;4.7811
"2022-07-28";4.6952;4.7973
"2022-07-29";4.6365;4.7399
"2022-08-01";4.629;4.7475
"2022-08-02";4.5984;4.7092
"2022-08-03";4.6164;4.7032
"2022-08-04";4.634;4.723
"2022-08-05";4.6024;4.7053
"2022-08-08";4.6127;4.7013
"2022-08-09";4.5919;4.7021
"2022-08-10";4.6112;4.7138
"2022-08-11";4.5206;4.6745
"2022-08-12";4.5459;4.6832
"2022-08-16";4.6282;4.6928
"2022-08-17";4.6119;4.6921
"2022-08-18";4.6468;4.7244
"2022-08-19";4.7061;4.748
"2022-08-22";4.7427;4.7493
"2022-08-23";4.803;4.7706
"2022-08-24";4.8029;4.7772
"2022-08-25";4.7546;4.7584
"2022-08-26";4.7465;4.7413
"2022-08-29";4.7821;4.7529
"2022-08-30";4.721;4.7328
"2022-08-31";4.736;4.7265
"2022-09-01";4.6959;4.7133
"2022-09-02";4.7276;4.7144
"2022-09-05";4.769;4.7263
"2022-09-06";4.7367;4.7168
"2022-09-07";4.7584;4.7137
"2022-09-08";4.7268;4.7244
"2022-09-09";4.6599;4.7098
"2022-09-12";4.6225;4.7113
"2022-09-13";4.6363;4.7082
"2022-09-14";4.7233;4.7195
"2022-09-15";4.7202;4.7164
"2022-09-16";4.7384;4.7176
"2022-09-19";4.7255;4.7142
"2022-09-20";4.7118;4.7165
"2022-09-21";4.7919;4.7449
"2022-09-22";4.8343;4.7758
