Data;Godzina;Generacja.zrodel.wiatrowych;Generacja.zrodel.fotowoltaicznych
2015-09-08;9;1234,150;-
2015-09-08;10;1152,925;-
2015-09-08;11;1217,150;-
2015-09-08;12;1204,925;-
2015-09-08;13;1251,850;-
2015-09-08;14;1345,613;-
2015-09-08;15;1291,713;-
2015-09-08;16;1224,075;-
2015-09-08;17;1137,388;-
2015-09-08;18;1033,800;-
2015-09-08;19;839,400;-
2015-09-08;20;812,725;-
2015-09-08;21;763,738;-
2015-09-08;22;712,750;-
2015-09-08;23;703,588;-
2015-09-08;24;605,375;-
2015-09-09;1;584,988;-
2015-09-09;2;604,000;-
2015-09-09;3;584,338;-
2015-09-09;4;527,625;-
2015-09-09;5;464,388;-
2015-09-09;6;477,588;-
2015-09-09;7;469,363;-
2015-09-09;8;395,613;-
2015-09-09;9;223,825;-
2015-09-09;10;217,363;-
2015-09-09;11;207,913;-
2015-09-09;12;267,088;-
2015-09-09;13;290,875;-
2015-09-09;14;298,613;-
2015-09-09;15;303,225;-
2015-09-09;16;254,200;-
2015-09-09;17;212,525;-
2015-09-09;18;209,550;-
2015-09-09;19;216,588;-
2015-09-09;20;278,500;-
2015-09-09;21;354,688;-
2015-09-09;22;448,113;-
2015-09-09;23;512,338;-
2015-09-09;24;502,525;-
2015-09-10;1;441,650;-
2015-09-10;2;351,038;-
2015-09-10;3;355,838;-
2015-09-10;4;339,538;-
2015-09-10;5;340,188;-
2015-09-10;6;362,025;-
2015-09-10;7;420,413;-
2015-09-10;8;406,938;-
2015-09-10;9;241,163;-
2015-09-10;10;122,113;-
2015-09-10;11;253,325;-
2015-09-10;12;440,388;-
2015-09-10;13;622,950;-
2015-09-10;14;742,363;-
2015-09-10;15;834,163;-
2015-09-10;16;931,625;-
2015-09-10;17;1005,988;-
2015-09-10;18;1077,463;-
2015-09-10;19;998,438;-
2015-09-10;20;1199,513;-
2015-09-10;21;1594,463;-
2015-09-10;22;1858,000;-
2015-09-10;23;2026,238;-
2015-09-10;24;1958,813;-
2015-09-11;1;1952,063;-
2015-09-11;2;1891,200;-
2015-09-11;3;1855,750;-
2015-09-11;4;1810,313;-
2015-09-11;5;1688,050;-
2015-09-11;6;1645,038;-
2015-09-11;7;1605,125;-
2015-09-11;8;1467,025;-
2015-09-11;9;1175,500;-
2015-09-11;10;1064,363;-
2015-09-11;11;1176,775;-
2015-09-11;12;1502,463;-
2015-09-11;13;1800,413;-
2015-09-11;14;1921,075;-
2015-09-11;15;1850,875;-
2015-09-11;16;1859,775;-
2015-09-11;17;1829,638;-
2015-09-11;18;1654,700;-
2015-09-11;19;1608,438;-
2015-09-11;20;1625,463;-
2015-09-11;21;1723,588;-
2015-09-11;22;1727,425;-
2015-09-11;23;1674,538;-
2015-09-11;24;1570,575;-
2015-09-12;1;1491,625;-
2015-09-12;2;1460,013;-
2015-09-12;3;1389,875;-
2015-09-12;4;1349,463;-
2015-09-12;5;1342,888;-
2015-09-12;6;1322,550;-
2015-09-12;7;1307,025;-
2015-09-12;8;1297,088;-
2015-09-12;9;1140,938;-
2015-09-12;10;987,125;-
2015-09-12;11;895,488;-
2015-09-12;12;846,588;-
2015-09-12;13;926,950;-
2015-09-12;14;1011,250;-
